year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1924,Nigeria,NGA,NGN,Africa,1920s,0.0082,0.031,0.1506,0.0069,0.1267,0.0041,11.89,,,Very Low (<$0.30),0.0,0.0082,0,heavy,1,1.43,0.009,-0.0008,1.0,17.1,18.3626
1925,Nigeria,NGA,NGN,Africa,1920s,0.0081,0.0307,0.1453,0.0067,0.1202,0.004,11.745,-1.22,-2.9,Very Low (<$0.30),0.0,0.0081,0,heavy,1,1.68,0.0106,-0.0025,1.0,17.5,17.9429
1926,Nigeria,NGA,NGN,Africa,1920s,0.0083,0.0314,0.1472,0.0068,0.1206,0.0041,12.035,2.47,1.49,Very Low (<$0.30),0.0,0.0083,0,heavy,1,1.88,0.0118,-0.0035,1.0,17.7,17.7401
1927,Nigeria,NGA,NGN,Africa,1920s,0.0083,0.0314,0.1498,0.0067,0.1209,0.0042,12.035,0.0,-1.47,Very Low (<$0.30),0.0,0.0083,0,heavy,1,1.3,0.0082,0.0001,1.0,17.4,18.046
1928,Nigeria,NGA,NGN,Africa,1920s,0.0084,0.0318,0.1542,0.0069,0.1267,0.0041,12.18,1.2,2.99,Very Low (<$0.30),0.0,0.0084,0,heavy,1,1.17,0.0074,0.001,1.0,17.1,18.3626
1929,Nigeria,NGA,NGN,Africa,1920s,0.0088,0.0333,0.1616,0.0073,0.134,0.0044,12.76,4.76,5.8,Very Low (<$0.30),0.0,0.0088,0,heavy,1,1.27,0.008,0.0008,1.0,17.1,18.3626
1930,Nigeria,NGA,NGN,Africa,1930s,0.0092,0.0348,0.173,0.0077,0.1448,0.0045,13.34,4.55,5.48,Very Low (<$0.30),0.0,0.0092,0,heavy,1,1.19,0.0075,0.0017,1.0,16.7,18.8024
1931,Nigeria,NGA,NGN,Africa,1930s,0.0091,0.0344,0.188,0.0075,0.1549,0.0046,13.195,-1.09,-2.6,Very Low (<$0.30),0.0,0.0091,0,heavy,1,0.65,0.0041,0.005,1.0,15.2,20.6579
1932,Nigeria,NGA,NGN,Africa,1930s,0.0096,0.0363,0.22,0.0079,0.1811,0.0048,13.92,5.49,5.33,Very Low (<$0.30),0.0,0.0096,0,heavy,1,0.87,0.0055,0.0041,1.0,13.7,22.9197
1933,Nigeria,NGA,NGN,Africa,1930s,0.0096,0.0363,0.2319,0.0078,0.1884,0.0049,13.92,0.0,-1.27,Very Low (<$0.30),0.0,0.0096,0,heavy,1,0.67,0.0042,0.0054,1.0,13.0,24.1538
1934,Nigeria,NGA,NGN,Africa,1930s,0.0101,0.0382,0.2367,0.0084,0.1968,0.0051,14.645,5.21,7.69,Very Low (<$0.30),0.0,0.0101,0,heavy,1,1.0,0.0063,0.0038,1.0,13.4,23.4328
1935,Nigeria,NGA,NGN,Africa,1930s,0.0104,0.0394,0.2384,0.0085,0.1948,0.0053,15.08,2.97,1.19,Very Low (<$0.30),0.0,0.0104,0,heavy,1,0.97,0.0061,0.0043,1.0,13.7,22.9197
1936,Nigeria,NGA,NGN,Africa,1930s,0.0104,0.0394,0.2349,0.0087,0.1965,0.0053,15.08,0.0,2.35,Very Low (<$0.30),0.0,0.0104,0,heavy,1,1.09,0.0069,0.0035,1.0,13.9,22.5899
1937,Nigeria,NGA,NGN,Africa,1930s,0.0107,0.0405,0.2333,0.0089,0.1941,0.0053,15.515,2.88,2.3,Very Low (<$0.30),0.0,0.0107,0,heavy,1,1.18,0.0074,0.0033,1.0,14.4,21.8056
1938,Nigeria,NGA,NGN,Africa,1930s,0.0115,0.0435,0.2561,0.0095,0.2116,0.0055,16.675,7.48,6.74,Very Low (<$0.30),0.0,0.0115,0,heavy,1,1.13,0.0071,0.0044,1.0,14.1,22.2695
1939,Nigeria,NGA,NGN,Africa,1930s,0.0115,0.0435,0.2598,0.0094,0.2123,0.0058,16.675,0.0,-1.05,Very Low (<$0.30),0.0,0.0115,0,heavy,1,1.02,0.0064,0.0051,1.0,13.9,22.5899
1940,Nigeria,NGA,NGN,Africa,1940s,0.0121,0.0458,0.2714,0.01,0.2243,0.0062,17.545,5.22,6.38,Very Low (<$0.30),0.0,0.0121,0,heavy,1,1.02,0.0064,0.0057,1.0,14.0,22.4286
1941,Nigeria,NGA,NGN,Africa,1940s,0.0124,0.0469,0.2649,0.0102,0.2179,0.0062,17.98,2.48,2.0,Very Low (<$0.30),0.0,0.0124,0,heavy,1,1.14,0.0072,0.0052,1.0,14.7,21.3605
1942,Nigeria,NGA,NGN,Africa,1940s,0.0135,0.0511,0.2601,0.0111,0.2138,0.0068,19.575,8.87,8.82,Very Low (<$0.30),0.0,0.0135,0,heavy,1,1.19,0.0075,0.006,1.0,16.3,19.2638
