year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1924,Australia,AUS,AUD,Asia Pacific,1920s,0.0175,0.0662,0.3213,0.0165,0.303,0.0104,0.0266,,,Very Low (<$0.30),15.2,0.0148,0,none,1,1.43,0.009,0.0085,1.0,17.1,18.3626
1925,Australia,AUS,AUD,Asia Pacific,1920s,0.0182,0.0689,0.3266,0.0177,0.3176,0.0108,0.0277,4.0,7.27,Very Low (<$0.30),15.2,0.0154,0,none,1,1.68,0.0106,0.0076,1.0,17.5,17.9429
1926,Australia,AUS,AUD,Asia Pacific,1920s,0.0185,0.07,0.3282,0.0178,0.3158,0.0112,0.0281,1.65,0.56,Very Low (<$0.30),15.2,0.0157,0,none,1,1.88,0.0118,0.0067,1.0,17.7,17.7401
1927,Australia,AUS,AUD,Asia Pacific,1920s,0.0187,0.0708,0.3375,0.0181,0.3266,0.011,0.0284,1.08,1.69,Very Low (<$0.30),15.2,0.0159,0,none,1,1.3,0.0082,0.0105,1.0,17.4,18.046
1928,Australia,AUS,AUD,Asia Pacific,1920s,0.0186,0.0704,0.3415,0.0175,0.3213,0.0115,0.0283,-0.53,-3.31,Very Low (<$0.30),15.2,0.0158,0,none,1,1.17,0.0074,0.0112,1.0,17.1,18.3626
1929,Australia,AUS,AUD,Asia Pacific,1920s,0.0193,0.0731,0.3544,0.0179,0.3287,0.0117,0.0293,3.76,2.29,Very Low (<$0.30),15.2,0.0164,0,none,1,1.27,0.008,0.0113,1.0,17.1,18.3626
1930,Australia,AUS,AUD,Asia Pacific,1930s,0.0183,0.0693,0.3441,0.0172,0.3234,0.0112,0.0278,-5.18,-3.91,Very Low (<$0.30),15.2,0.0155,0,none,1,1.19,0.0075,0.0108,1.0,16.7,18.8024
1931,Australia,AUS,AUD,Asia Pacific,1930s,0.0193,0.0731,0.3987,0.0188,0.3884,0.0115,0.0293,5.46,9.3,Very Low (<$0.30),15.2,0.0164,0,none,1,0.65,0.0041,0.0152,1.0,15.2,20.6579
1932,Australia,AUS,AUD,Asia Pacific,1930s,0.0201,0.0761,0.4607,0.0192,0.4401,0.0126,0.0306,4.15,2.13,Very Low (<$0.30),15.2,0.017,0,none,1,0.87,0.0055,0.0146,1.0,13.7,22.9197
1933,Australia,AUS,AUD,Asia Pacific,1930s,0.0203,0.0768,0.4903,0.0197,0.4758,0.0121,0.0309,1.0,2.6,Very Low (<$0.30),15.2,0.0172,0,none,1,0.67,0.0042,0.0161,1.0,13.0,24.1538
