year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1924,France,FRA,EUR,Europe,1920s,0.0252,0.0954,0.4627,0.0269,0.494,0.0152,0.0234,,,Very Low (<$0.30),26.0,0.0186,0,none,0,1.43,0.009,0.0162,1.0,17.1,18.3626
1925,France,FRA,EUR,Europe,1920s,0.025,0.0946,0.4486,0.0269,0.4827,0.0152,0.0233,-0.79,0.0,Very Low (<$0.30),26.0,0.0185,0,none,0,1.68,0.0106,0.0144,1.0,17.5,17.9429
1926,France,FRA,EUR,Europe,1920s,0.0264,0.0999,0.4683,0.0283,0.502,0.0151,0.0246,5.6,5.2,Very Low (<$0.30),26.0,0.0195,0,none,0,1.88,0.0118,0.0146,1.0,17.7,17.7401
1927,France,FRA,EUR,Europe,1920s,0.0257,0.0973,0.4638,0.0263,0.4746,0.0157,0.0239,-2.65,-7.07,Very Low (<$0.30),26.0,0.019,0,none,0,1.3,0.0082,0.0175,1.0,17.4,18.046
1928,France,FRA,EUR,Europe,1920s,0.0261,0.0988,0.4793,0.0271,0.4976,0.0155,0.0243,1.56,3.04,Very Low (<$0.30),26.0,0.0193,0,none,0,1.17,0.0074,0.0187,1.0,17.1,18.3626
1929,France,FRA,EUR,Europe,1920s,0.0266,0.1007,0.4884,0.0284,0.5215,0.0156,0.0247,1.92,4.8,Very Low (<$0.30),26.0,0.0197,0,none,0,1.27,0.008,0.0186,1.0,17.1,18.3626
1930,France,FRA,EUR,Europe,1930s,0.0266,0.1007,0.5001,0.0282,0.5302,0.0161,0.0247,0.0,-0.7,Very Low (<$0.30),26.0,0.0197,0,none,0,1.19,0.0075,0.0191,1.0,16.7,18.8024
1931,France,FRA,EUR,Europe,1930s,0.0277,0.1049,0.5722,0.0285,0.5887,0.0168,0.0258,4.14,1.06,Very Low (<$0.30),26.0,0.0205,0,none,0,0.65,0.0041,0.0236,1.0,15.2,20.6579
1932,France,FRA,EUR,Europe,1930s,0.0279,0.1056,0.6395,0.0291,0.667,0.0168,0.0259,0.72,2.11,Very Low (<$0.30),26.0,0.0206,0,none,0,0.87,0.0055,0.0224,1.0,13.7,22.9197
1933,France,FRA,EUR,Europe,1930s,0.0284,0.1075,0.686,0.0297,0.7174,0.0173,0.0264,1.79,2.06,Very Low (<$0.30),26.0,0.021,0,none,0,0.67,0.0042,0.0242,1.0,13.0,24.1538
1934,France,FRA,EUR,Europe,1930s,0.0284,0.1075,0.6655,0.0308,0.7217,0.0171,0.0264,0.0,3.7,Very Low (<$0.30),26.0,0.021,0,none,0,1.0,0.0063,0.0221,1.0,13.4,23.4328
1935,France,FRA,EUR,Europe,1930s,0.0296,0.112,0.6784,0.031,0.7105,0.0179,0.0275,4.23,0.65,Very Low (<$0.30),26.0,0.0219,0,none,0,0.97,0.0061,0.0235,1.0,13.7,22.9197
1936,France,FRA,EUR,Europe,1930s,0.0303,0.1147,0.6845,0.0318,0.7184,0.0186,0.0282,2.36,2.58,Very Low (<$0.30),26.0,0.0224,0,none,0,1.09,0.0069,0.0234,1.0,13.9,22.5899
1937,France,FRA,EUR,Europe,1930s,0.0308,0.1166,0.6716,0.0318,0.6934,0.0185,0.0286,1.65,0.0,Very Low (<$0.30),26.0,0.0228,0,none,0,1.18,0.0074,0.0234,1.0,14.4,21.8056
1938,France,FRA,EUR,Europe,1930s,0.031,0.1173,0.6904,0.0326,0.726,0.0188,0.0288,0.65,2.52,Very Low (<$0.30),26.0,0.0229,0,none,0,1.13,0.0071,0.0239,1.0,14.1,22.2695
1939,France,FRA,EUR,Europe,1930s,0.0313,0.1185,0.7071,0.0319,0.7206,0.0188,0.0291,0.97,-2.15,Very Low (<$0.30),26.0,0.0232,0,none,0,1.02,0.0064,0.0249,1.0,13.9,22.5899
1940,France,FRA,EUR,Europe,1940s,0.0318,0.1204,0.7132,0.0329,0.7379,0.0197,0.0296,1.6,3.13,Very Low (<$0.30),26.0,0.0235,0,none,0,1.02,0.0064,0.0254,1.0,14.0,22.4286
1941,France,FRA,EUR,Europe,1940s,0.0324,0.1226,0.6921,0.0339,0.7241,0.0199,0.0301,1.89,3.04,Very Low (<$0.30),26.0,0.024,0,none,0,1.14,0.0072,0.0252,1.0,14.7,21.3605
