year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1924,Iran,IRN,IRR,Middle East,1920s,0.0051,0.0193,0.0936,0.003,0.0551,0.0015,214.2,,,Very Low (<$0.30),0.0,0.0051,0,heavy,1,1.43,0.009,-0.0039,1.0,17.1,18.3626
1925,Iran,IRN,IRR,Middle East,1920s,0.0052,0.0197,0.0933,0.0031,0.0556,0.0016,218.4,1.96,3.33,Very Low (<$0.30),0.0,0.0052,0,heavy,1,1.68,0.0106,-0.0054,1.0,17.5,17.9429
1926,Iran,IRN,IRR,Middle East,1920s,0.0052,0.0197,0.0922,0.0031,0.055,0.0016,218.4,0.0,0.0,Very Low (<$0.30),0.0,0.0052,0,heavy,1,1.88,0.0118,-0.0066,1.0,17.7,17.7401
1927,Iran,IRN,IRR,Middle East,1920s,0.0056,0.0212,0.1011,0.0033,0.0596,0.0017,235.2,7.69,6.45,Very Low (<$0.30),0.0,0.0056,0,heavy,1,1.3,0.0082,-0.0026,1.0,17.4,18.046
1928,Iran,IRN,IRR,Middle East,1920s,0.0057,0.0216,0.1047,0.0034,0.0624,0.0017,239.4,1.79,3.03,Very Low (<$0.30),0.0,0.0057,0,heavy,1,1.17,0.0074,-0.0017,1.0,17.1,18.3626
1929,Iran,IRN,IRR,Middle East,1920s,0.0058,0.022,0.1065,0.0035,0.0643,0.0018,243.6,1.75,2.94,Very Low (<$0.30),0.0,0.0058,0,heavy,1,1.27,0.008,-0.0022,1.0,17.1,18.3626
1930,Iran,IRN,IRR,Middle East,1930s,0.0061,0.0231,0.1147,0.0036,0.0677,0.0018,256.2,5.17,2.86,Very Low (<$0.30),0.0,0.0061,0,heavy,1,1.19,0.0075,-0.0014,1.0,16.7,18.8024
1931,Iran,IRN,IRR,Middle East,1930s,0.0059,0.0223,0.1219,0.0035,0.0723,0.0018,247.8,-3.28,-2.78,Very Low (<$0.30),0.0,0.0059,0,heavy,1,0.65,0.0041,0.0018,1.0,15.2,20.6579
1932,Iran,IRN,IRR,Middle East,1930s,0.0063,0.0238,0.1444,0.0038,0.0871,0.0019,264.6,6.78,8.57,Very Low (<$0.30),0.0,0.0063,0,heavy,1,0.87,0.0055,0.0008,1.0,13.7,22.9197
1933,Iran,IRN,IRR,Middle East,1930s,0.0065,0.0246,0.157,0.0039,0.0942,0.0019,273.0,3.17,2.63,Very Low (<$0.30),0.0,0.0065,0,heavy,1,0.67,0.0042,0.0023,1.0,13.0,24.1538
1934,Iran,IRN,IRR,Middle East,1930s,0.0066,0.025,0.1547,0.0039,0.0914,0.002,277.2,1.54,0.0,Very Low (<$0.30),0.0,0.0066,0,heavy,1,1.0,0.0063,0.0003,1.0,13.4,23.4328
1935,Iran,IRN,IRR,Middle East,1930s,0.0069,0.0261,0.1581,0.0041,0.094,0.002,289.8,4.55,5.13,Very Low (<$0.30),0.0,0.0069,0,heavy,1,0.97,0.0061,0.0008,1.0,13.7,22.9197
1936,Iran,IRN,IRR,Middle East,1930s,0.0071,0.0269,0.1604,0.0043,0.0971,0.0022,298.2,2.9,4.88,Very Low (<$0.30),0.0,0.0071,0,heavy,1,1.09,0.0069,0.0002,1.0,13.9,22.5899
1937,Iran,IRN,IRR,Middle East,1930s,0.0075,0.0284,0.1635,0.0045,0.0981,0.0022,315.0,5.63,4.65,Very Low (<$0.30),0.0,0.0075,0,heavy,1,1.18,0.0074,0.0001,1.0,14.4,21.8056
1938,Iran,IRN,IRR,Middle East,1930s,0.0075,0.0284,0.167,0.0047,0.1047,0.0023,315.0,0.0,4.44,Very Low (<$0.30),0.0,0.0075,0,heavy,1,1.13,0.0071,0.0004,1.0,14.1,22.2695
1939,Iran,IRN,IRR,Middle East,1930s,0.0079,0.0299,0.1785,0.0048,0.1084,0.0023,331.8,5.33,2.13,Very Low (<$0.30),0.0,0.0079,0,heavy,1,1.02,0.0064,0.0015,1.0,13.9,22.5899
1940,Iran,IRN,IRR,Middle East,1940s,0.0081,0.0307,0.1817,0.0048,0.1077,0.0023,340.2,2.53,0.0,Very Low (<$0.30),0.0,0.0081,0,heavy,1,1.02,0.0064,0.0017,1.0,14.0,22.4286
1941,Iran,IRN,IRR,Middle East,1940s,0.0085,0.0322,0.1816,0.0051,0.1089,0.0026,357.0,4.94,6.25,Very Low (<$0.30),0.0,0.0085,0,heavy,1,1.14,0.0072,0.0013,1.0,14.7,21.3605
1942,Iran,IRN,IRR,Middle East,1940s,0.0083,0.0314,0.1599,0.0051,0.0982,0.0026,348.6,-2.35,0.0,Very Low (<$0.30),0.0,0.0083,0,heavy,1,1.19,0.0075,0.0008,1.0,16.3,19.2638
